"user_segment","category_code","share"
repeated,computers.components.cpu,9.59
repeated,computers.components.hdd,2.95
repeated,computers.components.motherboard,8.97
repeated,computers.components.videocards,45.55
repeated,computers.desktop,2.18
repeated,computers.notebook,10.08
repeated,computers.peripherals.camera,2.01
repeated,computers.peripherals.monitor,2.26
repeated,computers.peripherals.printer,15.41
repeated,computers.peripherals.scanner,0.99
single,computers.components.cpu,10.26
single,computers.components.hdd,4.37
single,computers.components.motherboard,10.72
single,computers.components.videocards,27.47
single,computers.desktop,3.42
single,computers.notebook,14.94
single,computers.peripherals.camera,2.23
single,computers.peripherals.monitor,3.44
single,computers.peripherals.printer,22.31
single,computers.peripherals.scanner,0.84
