"category_lvl_1","price_segment","count_sell_items","revenue","share_sell","share_revenue"
appliances,cheap,1,15.0,0.11,0.01
appliances,expensive,93,32182.0,10.30,30.57
appliances,medium,809,73067.0,89.59,69.41
auto,cheap,4,53.0,0.37,0.05
auto,expensive,61,15079.0,5.59,12.85
auto,medium,1026,102181.0,94.04,87.10
computers,cheap,621,6793.0,3.69,0.18
computers,expensive,7089,2823676.0,42.10,75.84
computers,medium,9127,892508.0,54.21,23.97
construction,cheap,92,1042.0,9.22,0.96
construction,expensive,108,42438.0,10.82,39.07
construction,medium,798,65144.0,79.96,59.97
electronics,cheap,1085,10032.0,16.10,2.24
electronics,expensive,371,155247.0,5.50,34.64
electronics,medium,5285,282860.0,78.40,63.12
stationery,cheap,440,5428.0,15.10,4.96
stationery,expensive,15,3730.0,0.51,3.41
stationery,medium,2458,100181.0,84.38,91.62
