"cohort_month","month_","revenue","cum_revenue","uniq_users","ltv"
dec,2020-12-01 00:00:00.000,2390779.8,2390779.8,3782,632.0
dec,2021-01-01 00:00:00.000,143821.58,2534601.2,3782,670.0
dec,2021-02-01 00:00:00.000,13350.799,2547952.0,3782,674.0
feb,2021-02-01 00:00:00.000,5262092.5,5262092.5,4192,1255.0
jan,2021-01-01 00:00:00.000,4454575.5,4454575.5,4673,953.0
jan,2021-02-01 00:00:00.000,621827.06,5076402.5,4673,1086.0
nov,2020-11-01 00:00:00.000,2638574.2,2638574.2,4258,620.0
nov,2020-12-01 00:00:00.000,60669.527,2699243.8,4258,634.0
nov,2021-01-01 00:00:00.000,48289.043,2747532.8,4258,645.0
nov,2021-02-01 00:00:00.000,4366.17,2751899.0,4258,646.0
oct,2020-10-01 00:00:00.000,1794966.1,1794966.1,3773,476.0
oct,2020-11-01 00:00:00.000,101847.11,1896813.2,3773,503.0
oct,2020-12-01 00:00:00.000,50452.906,1947266.1,3773,516.0
oct,2021-01-01 00:00:00.000,4362.0903,1951628.2,3773,517.0
oct,2021-02-01 00:00:00.000,5003.591,1956631.9,3773,519.0
