"cohort_month","month_","uniq_count_users","share"
2020-10-01 00:00:00.000,2020-10-01 00:00:00.000,3773,100.00
2020-10-01 00:00:00.000,2020-11-01 00:00:00.000,228,6.04
2020-10-01 00:00:00.000,2020-12-01 00:00:00.000,59,1.56
2020-10-01 00:00:00.000,2021-01-01 00:00:00.000,31,0.82
2020-10-01 00:00:00.000,2021-02-01 00:00:00.000,21,0.56
2020-11-01 00:00:00.000,2020-11-01 00:00:00.000,4258,100.00
2020-11-01 00:00:00.000,2020-12-01 00:00:00.000,227,5.33
2020-11-01 00:00:00.000,2021-01-01 00:00:00.000,81,1.90
2020-11-01 00:00:00.000,2021-02-01 00:00:00.000,40,0.94
2020-12-01 00:00:00.000,2020-12-01 00:00:00.000,3782,100.00
2020-12-01 00:00:00.000,2021-01-01 00:00:00.000,248,6.56
2020-12-01 00:00:00.000,2021-02-01 00:00:00.000,81,2.14
2021-01-01 00:00:00.000,2021-01-01 00:00:00.000,4673,100.00
2021-01-01 00:00:00.000,2021-02-01 00:00:00.000,359,7.68
2021-02-01 00:00:00.000,2021-02-01 00:00:00.000,4192,100.00
