"month_","category_lvl_1","revenue"
2020-10-01 00:00:00.000,appliances,18547.857
2020-10-01 00:00:00.000,auto,20476.326
2020-10-01 00:00:00.000,computers,319661.66
2020-10-01 00:00:00.000,construction,14991.16
2020-10-01 00:00:00.000,electronics,83221.96
2020-10-01 00:00:00.000,stationery,24155.885
2021-01-01 00:00:00.000,appliances,20075.893
2021-01-01 00:00:00.000,auto,25004.195
2021-01-01 00:00:00.000,computers,1215615.6
2021-01-01 00:00:00.000,construction,23587.22
2021-01-01 00:00:00.000,electronics,76611.84
2021-01-01 00:00:00.000,stationery,21163.07
