"category_code","price_segment","uniq_count_view","uniq_count_cart","conversion_to_cart"
computers.peripherals.printer,expensive,129,7,5.43
computers.peripherals.monitor,expensive,249,8,3.21
electronics.video.tv,expensive,1321,29,2.20
electronics.telephone,expensive,1893,41,2.17
electronics.tablet,expensive,353,5,1.42
appliances.kitchen.microwave,expensive,129,1,0.78
electronics.audio.acoustic,expensive,87,0,0.00
computers.components.hdd,expensive,43,0,0.00
appliances.environment.vacuum,expensive,63,0,0.00
electronics.clocks,expensive,174,0,0.00
