"day_","event_type","count_events","share"
2020-09-25 00:00:00.000,cart,240,5.66
2020-09-25 00:00:00.000,purchase,149,3.51
2020-09-25 00:00:00.000,view,3850,90.82
2020-09-26 00:00:00.000,cart,177,5.11
2020-09-26 00:00:00.000,purchase,119,3.44
2020-09-26 00:00:00.000,view,3166,91.45
2020-09-27 00:00:00.000,cart,172,4.47
2020-09-27 00:00:00.000,purchase,110,2.86
2020-09-27 00:00:00.000,view,3567,92.67
2020-09-28 00:00:00.000,cart,259,5.50
2020-09-28 00:00:00.000,purchase,200,4.24
2020-09-28 00:00:00.000,view,4253,90.26
2020-09-29 00:00:00.000,cart,263,5.28
2020-09-29 00:00:00.000,purchase,194,3.90
2020-09-29 00:00:00.000,view,4523,90.82
2020-09-30 00:00:00.000,cart,202,4.44
2020-09-30 00:00:00.000,purchase,151,3.32
2020-09-30 00:00:00.000,view,4197,92.24
2020-10-01 00:00:00.000,cart,250,5.37
2020-10-01 00:00:00.000,purchase,175,3.76
2020-10-01 00:00:00.000,view,4227,90.86
2020-10-02 00:00:00.000,cart,245,5.39
2020-10-02 00:00:00.000,purchase,158,3.47
2020-10-02 00:00:00.000,view,4146,91.14
2020-10-03 00:00:00.000,cart,211,5.60
2020-10-03 00:00:00.000,purchase,135,3.58
2020-10-03 00:00:00.000,view,3423,90.82
2020-10-04 00:00:00.000,cart,248,5.63
2020-10-04 00:00:00.000,purchase,189,4.29
2020-10-04 00:00:00.000,view,3971,90.09
2020-10-05 00:00:00.000,cart,275,5.53
2020-10-05 00:00:00.000,purchase,208,4.18
2020-10-05 00:00:00.000,view,4493,90.29
2020-10-06 00:00:00.000,cart,296,6.20
2020-10-06 00:00:00.000,purchase,216,4.53
2020-10-06 00:00:00.000,view,4259,89.27
2020-10-07 00:00:00.000,cart,276,6.19
2020-10-07 00:00:00.000,purchase,174,3.90
2020-10-07 00:00:00.000,view,4007,89.90
2020-10-08 00:00:00.000,cart,264,5.55
2020-10-08 00:00:00.000,purchase,230,4.83
2020-10-08 00:00:00.000,view,4267,89.62
2020-10-09 00:00:00.000,cart,194,4.80
2020-10-09 00:00:00.000,purchase,154,3.81
2020-10-09 00:00:00.000,view,3692,91.39
2020-10-10 00:00:00.000,cart,191,5.29
2020-10-10 00:00:00.000,purchase,127,3.52
2020-10-10 00:00:00.000,view,3292,91.19
2020-10-11 00:00:00.000,cart,200,4.80
2020-10-11 00:00:00.000,purchase,169,4.06
2020-10-11 00:00:00.000,view,3794,91.14
2020-10-12 00:00:00.000,cart,273,5.54
2020-10-12 00:00:00.000,purchase,172,3.49
2020-10-12 00:00:00.000,view,4483,90.97
2020-10-13 00:00:00.000,cart,243,5.40
2020-10-13 00:00:00.000,purchase,144,3.20
2020-10-13 00:00:00.000,view,4113,91.40
